Student_ID,Age,Attendance,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Project_Score,Total_Score,Study_Hours_per_Week,Sleep_Hours_per_Night,Stress_Level,Gender,Extracurricular_Activities,Internet_Access,Parent_Education,Family_Income
S1000,22,97.36,40.61,59.61,73.69,53.17,7.34,62.84,83.49,10.3,5.9,1,1,1,0,3,1
S1001,18,97.71,57.27,74.0,74.23,98.23,8.8,98.23,92.29,27.1,4.3,4,0,0,0,1,0
S1002,24,99.52,41.84,63.85,85.85,50.0,0.47,91.22,93.55,12.4,6.1,9,0,1,0,1,0
S1003,24,90.38,45.65,44.44,68.1,66.27,0.42,55.48,51.03,25.5,4.9,8,1,0,1,1,0
S1004,23,59.41,53.13,61.77,67.66,83.98,6.43,87.43,90.91,13.3,4.5,6,1,1,0,3,1
S1005,21,60.6,70.21,64.48,87.85,52.26,5.48,67.65,92.66,25.3,5.6,6,0,1,0,0,1
S1006,24,67.01,90.85,93.74,89.0,54.17,1.55,87.51,79.78,22.1,4.0,2,0,1,0,2,2
S1007,19,65.91,91.72,59.47,50.72,53.83,5.48,90.04,74.0,16.7,7.8,5,0,1,1,0,0
S1008,21,97.83,76.97,62.75,57.19,79.08,9.74,57.57,55.55,18.1,4.8,9,1,0,1,4,2
S1009,22,89.45,95.69,86.97,60.65,94.8,6.31,83.09,61.98,9.4,7.1,8,1,1,0,0,2
S1010,23,86.2,70.0,85.54,67.58,77.77,4.49,93.14,74.52,7.9,8.2,4,1,1,1,1,0
S1011,20,59.3,93.34,87.9,64.57,80.18,8.28,66.17,93.25,22.9,8.6,7,1,1,0,0,0
S1012,21,95.48,67.24,97.23,83.43,67.3,2.13,54.02,90.16,26.2,6.8,9,0,0,0,0,1
S1013,18,91.39,56.63,87.73,91.41,50.94,4.14,51.36,74.8,23.0,7.9,5,0,0,0,4,1
S1014,19,58.18,94.98,64.46,59.6,51.08,5.28,55.5,89.28,27.8,6.3,2,0,0,1,2,2
S1015,18,93.56,63.28,89.29,78.15,94.42,5.05,50.21,88.29,27.3,6.5,2,0,1,0,2,0
S1016,21,63.61,70.2,70.52,68.39,55.13,9.21,66.35,78.95,24.5,6.7,8,1,0,1,1,2
S1017,23,54.04,59.73,56.66,75.29,99.99,2.93,64.97,61.02,27.5,7.4,8,1,0,0,2,1
